"vnf-resp","func","tot"
1201,61,132
1269,59,130
1251,59,129
1277,60,130
1314,62,141
1264,59,128
1269,58,128
1178,60,129
1197,82,152
1439,75,169
1281,59,129
1178,59,129
1394,69,148
1166,58,128
1160,59,128
1175,59,130
1196,61,135
1364,85,166
1297,61,130
1279,58,126
1082,58,126
1052,59,128
1097,59,127
1834,73,198
1052,58,127
1074,60,129
1076,59,127
1057,58,126
1071,59,131
1157,66,140
1056,59,126
1090,59,127
1109,65,136
1142,63,140
1066,60,131
1112,62,133
1204,59,131
1153,64,141
1063,59,127
1026,58,127
1096,59,128
1048,58,126
1079,59,130
1051,58,125
1060,58,126
1071,59,130
1301,58,126
1328,60,126
1236,58,126
1356,65,141
1291,59,130
1257,58,128
1309,63,139
1248,58,127
1255,59,129
1275,60,132
1255,58,125
1054,59,127
1174,79,156
1089,58,129
1082,63,138
1116,65,139
1148,65,152
1080,59,129
1081,59,131
1353,59,128
1275,60,127
1209,59,129
1221,63,133
1254,59,127
1263,61,131
1267,59,128
1278,61,133
1330,59,127
1251,58,127
1261,58,126
1337,77,167
1358,69,152
1325,68,152
1257,68,151
1411,70,153
1378,68,170
1259,67,164
1351,69,153
1257,71,157
1241,68,152
1217,70,152
1229,68,151
1247,69,171
1248,74,161
1225,69,153
1259,68,152
1229,69,151
1268,69,153
1234,69,152
1067,58,127
1051,59,128
1056,60,129
1096,59,128
1079,58,130
1109,58,129
1063,59,128
1161,61,134
1091,60,130
1050,60,129
1049,59,127
1062,60,131
1116,59,128
1090,60,131
1078,59,131
1122,59,129
1027,59,128
1064,59,128
1114,59,133
